model,K,Precision@K,Recall@K,ARR,NDCG@K,MAP@K,n_users
SVD,5,0.21622574955908294,0.022275664234156313,4.347027635916745,0.221112913559684,0.153798419230518,1701
SVD,10,0.19529688418577307,0.040410281728121646,4.32798343270279,0.20652629200106187,0.12144194928390499,1701
SVD,20,0.17098765432098767,0.06758905983887563,4.303432879127036,0.1910582791429976,0.09533243396322628,1701
NCF,5,0.1825984714873604,0.0197722080100713,4.408689764106482,0.18288092827327743,0.11890064667842445,1701
NCF,10,0.1697236919459142,0.03545601106876027,4.373795255518654,0.1752374789103272,0.09457238428064413,1701
NCF,20,0.15526161081716638,0.06268134959812338,4.3302048836171965,0.16805135883881284,0.07595127872506467,1701
Content-Based,5,0.030972615675165256,0.004199018119374857,3.2550871542956954,0.03235165126159623,0.016751652502360718,1059
Content-Based,10,0.02927289896128423,0.0065043530386044756,3.257614149004489,0.03110745734549569,0.011991525564865192,1059
Content-Based,20,0.023937677053824363,0.010385279361484699,3.2559577716046486,0.027945473680592182,0.008176454727810324,1059
Hybrid-Smooth,5,0.21481481481481485,0.02079901434963248,4.359339998761642,0.22059465842605538,0.15692582794434648,1701
Hybrid-Smooth,10,0.18206937095825987,0.03506917618333488,4.341376736731315,0.19702831989093758,0.11606698848023977,1701
Hybrid-Smooth,20,0.15052910052910054,0.05987441660746995,4.325321176833917,0.17424395496387501,0.08405086049305135,1701
