movieId,title,genres,year,title_clean,genre_count,decade,rating_avg,rating_count,rating_std,popularity_category,genres_clean,text_features
1,Toy Story (1995),Animation|Children's|Comedy,1995,Toy Story,3,1990,4.146846413095811,2077,0.8523490842765883,Blockbuster,animation|childrens|comedy,animation|children's|comedy toy story
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,Jumanji,3,1990,3.20114122681883,701,0.9831720435251142,Blockbuster,adventure|childrens|fantasy,adventure|children's|fantasy jumanji
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men,2,1990,3.01673640167364,478,1.0717118389753955,Blockbuster,comedy|romance,comedy|romance grumpier old men
4,Waiting to Exhale (1995),Comedy|Drama,1995,Waiting to Exhale,2,1990,2.7294117647058824,170,1.0133807183552217,Popular,comedy|drama,comedy|drama waiting to exhale
5,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II,1,1990,3.0067567567567566,296,1.025086166674165,Blockbuster,comedy,comedy father of the bride part ii
6,Heat (1995),Action|Crime|Thriller,1995,Heat,3,1990,3.8787234042553194,940,0.9345882716882993,Blockbuster,action|crime|thriller,action|crime|thriller heat
7,Sabrina (1995),Comedy|Romance,1995,Sabrina,2,1990,3.410480349344978,458,0.9799183799386926,Blockbuster,comedy|romance,comedy|romance sabrina
8,Tom and Huck (1995),Adventure|Children's,1995,Tom and Huck,2,1990,3.014705882352941,68,0.9540588401207982,Popular,adventure|childrens,adventure|children's tom and huck
9,Sudden Death (1995),Action,1995,Sudden Death,1,1990,2.656862745098039,102,1.0482904332577478,Popular,action,action sudden death
10,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye,3,1990,3.5405405405405403,888,0.8912328467244989,Blockbuster,action|adventure|thriller,action|adventure|thriller goldeneye
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The",3,1990,3.7938044530493706,1033,0.8643904675139514,Blockbuster,comedy|drama|romance,"comedy|drama|romance american president, the"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It,2,1990,2.3625,160,1.2052688314126618,Popular,comedy|horror,comedy|horror dracula: dead and loving it
13,Balto (1995),Animation|Children's,1995,Balto,2,1990,3.2626262626262625,99,1.0554606169806215,Popular,animation|childrens,animation|children's balto
14,Nixon (1995),Drama,1995,Nixon,1,1990,3.542483660130719,153,0.8734906388238118,Popular,drama,drama nixon
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island,3,1990,2.458904109589041,146,1.2212300883423441,Popular,action|adventure|romance,action|adventure|romance cutthroat island
16,Casino (1995),Drama|Thriller,1995,Casino,2,1990,3.7932551319648096,682,0.9050754048198121,Blockbuster,drama|thriller,drama|thriller casino
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility,2,1990,4.027544910179641,835,0.9045359099058446,Blockbuster,drama|romance,drama|romance sense and sensibility
18,Four Rooms (1995),Thriller,1995,Four Rooms,1,1990,3.337579617834395,157,1.0162408111508663,Popular,thriller,thriller four rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls,1,1990,2.480719794344473,389,1.1787480236425396,Blockbuster,comedy,comedy ace ventura: when nature calls
20,Money Train (1995),Action,1995,Money Train,1,1990,2.5375,160,0.9034350937136871,Popular,action,action money train
21,Get Shorty (1995),Action|Comedy|Drama,1995,Get Shorty,3,1990,3.6238938053097347,1356,0.9348464525371937,Blockbuster,action|comedy|drama,action|comedy|drama get shorty
22,Copycat (1995),Crime|Drama|Thriller,1995,Copycat,3,1990,3.3492063492063493,378,0.9770642460255302,Blockbuster,crime|drama|thriller,crime|drama|thriller copycat
23,Assassins (1995),Thriller,1995,Assassins,1,1990,2.857142857142857,126,1.001712818840096,Popular,thriller,thriller assassins
24,Powder (1995),Drama|Sci-Fi,1995,Powder,2,1990,3.1794871794871793,624,1.0674653346155252,Blockbuster,drama|scifi,drama|sci-fi powder
25,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas,2,1990,3.6510204081632653,980,1.093508087896955,Blockbuster,drama|romance,drama|romance leaving las vegas
26,Othello (1995),Drama,1995,Othello,1,1990,3.53,100,0.9476712552783315,Popular,drama,drama othello
27,Now and Then (1995),Drama,1995,Now and Then,1,1990,2.9344262295081966,61,0.9809664020583035,Popular,drama,drama now and then
28,Persuasion (1995),Romance,1995,Persuasion,1,1990,4.055865921787709,179,0.8722994949490288,Popular,romance,romance persuasion
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995,"City of Lost Children, The",2,1990,4.062034739454094,403,0.9968222288874276,Blockbuster,adventure|scifi,"adventure|sci-fi city of lost children, the"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao),1,1990,3.6486486486486487,74,1.012692497276071,Popular,drama,drama shanghai triad (yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),Drama,1995,Dangerous Minds,1,1990,3.1134751773049647,141,0.9643072908389455,Popular,drama,drama dangerous minds
32,Twelve Monkeys (1995),Drama|Sci-Fi,1995,Twelve Monkeys,2,1990,3.945731303772336,1511,0.9641075092249455,Blockbuster,drama|scifi,drama|sci-fi twelve monkeys
34,Babe (1995),Children's|Comedy|Drama,1995,Babe,3,1990,3.8914905768132497,1751,1.0379604202733408,Blockbuster,childrens|comedy|drama,children's|comedy|drama babe
35,Carrington (1995),Drama|Romance,1995,Carrington,2,1990,3.3142857142857145,70,0.9095763808205356,Popular,drama|romance,drama|romance carrington
36,Dead Man Walking (1995),Drama,1995,Dead Man Walking,1,1990,3.9579741379310347,928,0.867339166130467,Blockbuster,drama,drama dead man walking
37,Across the Sea of Time (1995),Documentary,1995,Across the Sea of Time,1,1990,3.5,8,1.4142135623730951,Niche,documentary,documentary across the sea of time
38,It Takes Two (1995),Comedy,1995,It Takes Two,1,1990,2.8214285714285716,28,1.4670093394782469,Moderate,comedy,comedy it takes two
39,Clueless (1995),Comedy|Romance,1995,Clueless,2,1990,3.6233480176211454,1362,0.9636209925947659,Blockbuster,comedy|romance,comedy|romance clueless
40,"Cry, the Beloved Country (1995)",Drama,1995,"Cry, the Beloved Country",1,1990,3.933333333333333,30,0.8683449709106095,Moderate,drama,"drama cry, the beloved country"
41,Richard III (1995),Drama|War,1995,Richard III,2,1990,3.958677685950413,242,0.8388561092530338,Blockbuster,drama|war,drama|war richard iii
42,Dead Presidents (1995),Action|Crime|Drama,1995,Dead Presidents,3,1990,2.8687782805429864,221,1.0206828599604432,Blockbuster,action|crime|drama,action|crime|drama dead presidents
43,Restoration (1995),Drama,1995,Restoration,1,1990,3.4457831325301207,166,0.9309885531072842,Popular,drama,drama restoration
44,Mortal Kombat (1995),Action|Adventure,1995,Mortal Kombat,2,1990,2.787781350482315,311,1.0503356900132401,Blockbuster,action|adventure,action|adventure mortal kombat
45,To Die For (1995),Comedy|Drama,1995,To Die For,2,1990,3.4246323529411766,544,1.0035938427645763,Blockbuster,comedy|drama,comedy|drama to die for
46,How to Make an American Quilt (1995),Drama|Romance,1995,How to Make an American Quilt,2,1990,3.108433734939759,166,0.9724950502984867,Popular,drama|romance,drama|romance how to make an american quilt
47,Seven (Se7en) (1995),Crime|Thriller,1995,Seven (Se7en),2,1990,4.106420404573439,1137,0.9392287493081484,Blockbuster,crime|thriller,crime|thriller seven (se7en)
48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,Pocahontas,4,1990,2.9764397905759163,382,1.0973458292939027,Blockbuster,animation|childrens|musical|romance,animation|children's|musical|romance pocahontas
49,When Night Is Falling (1995),Drama|Romance,1995,When Night Is Falling,2,1990,3.740740740740741,27,0.9842057552468227,Moderate,drama|romance,drama|romance when night is falling
50,"Usual Suspects, The (1995)",Crime|Thriller,1995,"Usual Suspects, The",2,1990,4.517106001121705,1783,0.7488218456658826,Blockbuster,crime|thriller,"crime|thriller usual suspects, the"
52,Mighty Aphrodite (1995),Comedy,1995,Mighty Aphrodite,1,1990,3.640371229698376,431,0.9140474017061119,Blockbuster,comedy,comedy mighty aphrodite
53,Lamerica (1994),Drama,1994,Lamerica,1,1990,4.75,8,0.4629100498862757,Niche,drama,drama lamerica
54,"Big Green, The (1995)",Children's|Comedy,1995,"Big Green, The",2,1990,2.5609756097560976,41,1.1191242220550157,Moderate,childrens|comedy,"children's|comedy big green, the"
55,Georgia (1995),Drama,1995,Georgia,1,1990,3.066666666666667,45,1.1946852000726915,Moderate,drama,drama georgia
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1995,Kids of the Round Table,3,1990,2.0,9,1.3228756555322954,Niche,adventure|childrens|fantasy,adventure|children's|fantasy kids of the round table
57,Home for the Holidays (1995),Drama,1995,Home for the Holidays,1,1990,3.404040404040404,99,1.0093359295888653,Popular,drama,drama home for the holidays
58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994,"Postino, Il (The Postman)",2,1990,4.093812375249501,501,0.8973191387274351,Blockbuster,drama|romance,"drama|romance postino, il (the postman)"
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,1995,"Confessional, The (Le Confessionnal)",2,1990,2.75,8,1.3887301496588271,Niche,drama|mystery,"drama|mystery confessional, the (le confessionnal)"
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,1995,"Indian in the Cupboard, The",3,1990,3.212885154061625,357,0.9969345265645615,Blockbuster,adventure|childrens|fantasy,"adventure|children's|fantasy indian in the cupboard, the"
61,Eye for an Eye (1996),Drama|Thriller,1996,Eye for an Eye,2,1990,3.0,67,0.937436866561092,Popular,drama|thriller,drama|thriller eye for an eye
62,Mr. Holland's Opus (1995),Drama,1995,Mr. Holland's Opus,1,1990,3.6968576709796674,541,1.0149663906501434,Blockbuster,drama,drama mr. holland's opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1,1990,2.855855855855856,111,1.1106660315229928,Popular,comedy,comedy don't be a menace to south central while drinking your juice in the hood
64,Two if by Sea (1996),Comedy|Romance,1996,Two if by Sea,2,1990,2.2658227848101267,79,0.9016915835150559,Popular,comedy|romance,comedy|romance two if by sea
65,Bio-Dome (1996),Comedy,1996,Bio-Dome,1,1990,2.062937062937063,143,1.0760961212680835,Popular,comedy,comedy bio-dome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1996,Lawnmower Man 2: Beyond Cyberspace,2,1990,1.6701030927835052,97,0.8505102571953509,Popular,scifi|thriller,sci-fi|thriller lawnmower man 2: beyond cyberspace
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,French Twist (Gazon maudit),2,1990,3.45,60,0.8718769933456347,Popular,comedy|romance,comedy|romance french twist (gazon maudit)
69,Friday (1995),Comedy,1995,Friday,1,1990,3.6551724137931036,319,1.0371540728401614,Blockbuster,comedy,comedy friday
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,1996,From Dusk Till Dawn,5,1990,3.1564551422319473,914,1.1787767782524567,Blockbuster,action|comedy|crime|horror|thriller,action|comedy|crime|horror|thriller from dusk till dawn
71,Fair Game (1995),Action,1995,Fair Game,1,1990,2.1041666666666665,96,1.051106351138413,Popular,action,action fair game
72,Kicking and Screaming (1995),Comedy|Drama,1995,Kicking and Screaming,2,1990,3.6344086021505375,93,1.0507238316322616,Popular,comedy|drama,comedy|drama kicking and screaming
73,"Misérables, Les (1995)",Drama|Musical,1995,"Misérables, Les",2,1990,3.8169642857142856,224,1.0232620302616882,Blockbuster,drama|musical,"drama|musical misérables, les"
74,Bed of Roses (1996),Drama|Romance,1996,Bed of Roses,2,1990,2.975,120,1.0959244591522117,Popular,drama|romance,drama|romance bed of roses
75,Big Bully (1996),Comedy|Drama,1996,Big Bully,2,1990,1.9166666666666667,12,1.0836246694508316,Moderate,comedy|drama,comedy|drama big bully
76,Screamers (1995),Sci-Fi|Thriller,1995,Screamers,2,1990,2.853932584269663,178,1.0311593146321312,Popular,scifi|thriller,sci-fi|thriller screamers
77,Nico Icon (1995),Documentary,1995,Nico Icon,1,1990,3.764705882352941,34,0.8186768159996096,Moderate,documentary,documentary nico icon
78,"Crossing Guard, The (1995)",Drama,1995,"Crossing Guard, The",1,1990,3.26,50,1.0654116766848045,Moderate,drama,"drama crossing guard, the"
79,"Juror, The (1996)",Drama|Thriller,1996,"Juror, The",2,1990,2.6052631578947367,114,1.0010474253671435,Popular,drama|thriller,"drama|thriller juror, the"
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,1995,"White Balloon, The (Badkonake Sefid )",1,1990,3.826923076923077,52,0.7851852247107507,Popular,drama,"drama white balloon, the (badkonake sefid )"
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,1995,Things to Do in Denver when You're Dead,3,1990,3.1626506024096384,166,1.1297852671674935,Popular,crime|drama|romance,crime|drama|romance things to do in denver when you're dead
82,Antonia's Line (Antonia) (1995),Drama,1995,Antonia's Line (Antonia),1,1990,3.8764044943820224,89,1.0640854451241335,Popular,drama,drama antonia's line (antonia)
83,Once Upon a Time... When We Were Colored (1995),Drama,1995,Once Upon a Time... When We Were Colored,1,1990,3.696969696969697,33,0.8472325715546059,Moderate,drama,drama once upon a time... when we were colored
84,Last Summer in the Hamptons (1995),Comedy|Drama,1995,Last Summer in the Hamptons,2,1990,3.0952380952380953,21,1.2611408289624877,Moderate,comedy|drama,comedy|drama last summer in the hamptons
85,Angels and Insects (1995),Drama|Romance,1995,Angels and Insects,2,1990,3.402061855670103,194,0.9938650549493069,Popular,drama|romance,drama|romance angels and insects
86,White Squall (1996),Adventure|Drama,1996,White Squall,2,1990,3.3940677966101696,236,0.9325136355520187,Blockbuster,adventure|drama,adventure|drama white squall
87,Dunston Checks In (1996),Children's|Comedy,1996,Dunston Checks In,2,1990,2.210526315789474,76,1.0239243393100776,Popular,childrens|comedy,children's|comedy dunston checks in
88,Black Sheep (1996),Comedy,1996,Black Sheep,1,1990,2.9427083333333335,192,1.0594125401334324,Popular,comedy,comedy black sheep
89,Nick of Time (1995),Action|Thriller,1995,Nick of Time,2,1990,3.074235807860262,229,0.8878764120631532,Blockbuster,action|thriller,action|thriller nick of time
90,"Journey of August King, The (1995)",Drama,1995,"Journey of August King, The",1,1990,3.6666666666666665,6,1.0327955589886444,Niche,drama,"drama journey of august king, the"
92,Mary Reilly (1996),Drama|Thriller,1996,Mary Reilly,2,1990,2.340909090909091,88,1.0158102324854543,Popular,drama|thriller,drama|thriller mary reilly
93,Vampire in Brooklyn (1995),Comedy|Romance,1995,Vampire in Brooklyn,2,1990,2.235955056179775,89,0.9655718031550051,Popular,comedy|romance,comedy|romance vampire in brooklyn
94,Beautiful Girls (1996),Drama,1996,Beautiful Girls,1,1990,3.7252747252747254,182,0.9698884604770274,Popular,drama,drama beautiful girls
95,Broken Arrow (1996),Action|Thriller,1996,Broken Arrow,2,1990,2.876175548589342,638,1.0401801168887699,Blockbuster,action|thriller,action|thriller broken arrow
96,In the Bleak Midwinter (1995),Comedy,1995,In the Bleak Midwinter,1,1990,3.923076923076923,13,0.8623164985025763,Moderate,comedy,comedy in the bleak midwinter
