model,K,Precision@K,Recall@K,ARR,NDCG@K,MAP@K,n_users
SVD,5,0.21666666666666667,0.023194212156264583,4.3413649532409435,0.21728874664674416,0.15076666666666666,300
SVD,10,0.1956666666666667,0.038643754304881706,4.321362647795566,0.20362884675605547,0.12367665343915343,300
SVD,20,0.16766666666666669,0.06575738501783761,4.297950720224154,0.18606131571491794,0.09651869988582279,300
NCF,5,0.17666666666666667,0.024772950426616504,4.408241179266183,0.1792755059497928,0.10947777777777778,300
NCF,10,0.16033333333333333,0.038671891841551786,4.374064341126288,0.16957617934874242,0.08777738095238095,300
NCF,20,0.1475,0.06347987419055852,4.329159721223353,0.16264332654500863,0.0711638082612894,300
Content-Based,5,0.026881720430107527,0.003464765360847582,3.2744475304216283,0.03066908337006353,0.016164874551971326,186
Content-Based,10,0.024731182795698924,0.005246223780435666,3.255022948330772,0.027706582018696198,0.010721610627524606,186
Content-Based,20,0.020161290322580645,0.011024530534377623,3.2545428173037765,0.024970055604542563,0.007130709383438573,186
Hybrid-Smooth,5,0.20733333333333334,0.02125404536351169,4.362979937509499,0.21504129201628908,0.15272222222222223,300
Hybrid-Smooth,10,0.18,0.037213342720322666,4.343186414358652,0.19580695587504843,0.11529075543797764,300
Hybrid-Smooth,20,0.14633333333333332,0.058212616960822555,4.32721329910649,0.17126000293008445,0.0835188463032974,300
